Company ID,Ticker symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK
168,EQT,EQT Corporation,reports,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",12/19/08,33213
169,EFX,Equifax Inc.,reports,Industrials,Research & Consulting Services,"Atlanta, Georgia",,33185
170,EQIX,Equinix,reports,Real Estate,REITs,"Redwood City, California",3/20/15,1101239
171,EQR,Equity Residential,reports,Real Estate,REITs,"Chicago, Illinois",,906107
172,ESS,"Essex Property Trust, Inc.",reports,Real Estate,Residential REITs,"Palo Alto, California",4/2/14,920522
173,EL,Estee Lauder Cos.,reports,Consumer Staples,Personal Products,"New York, New York",,1001250
174,ES,Eversource Energy,reports,Utilities,MultiUtilities,"Springfield, Massachusetts",,72741
175,EXC,Exelon Corp.,reports,Utilities,MultiUtilities,"Chicago, Illinois",,1109357
176,EXPE,Expedia Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Bellevue, Washington",10/2/07,1324424
177,EXPD,Expeditors Int'l,reports,Industrials,Air Freight & Logistics,"Seattle, Washington",10/10/07,746515
178,ESRX,Express Scripts,reports,Health Care,Health Care Distributors,"Cool Valley, Missouri",9/25/03,1532063
179,EXR,Extra Space Storage,reports,Real Estate,Specialized REITs,"Salt Lake City, UT",1/19/16,1289490
180,XOM,Exxon Mobil Corp.,reports,Energy,Integrated Oil & Gas,"Irving, Texas",,34088
181,FFIV,F5 Networks,reports,Information Technology,Networking Equipment,"Seattle, Washington",12/20/10,1048695
182,FB,Facebook,reports,Information Technology,Internet Software & Services,"Menlo Park, California",12/23/13,1326801
183,FAST,Fastenal Co,reports,Industrials,Building Products,"Winona, Minnesota",9/15/09,815556
184,FRT,Federal Realty Investment Trust,reports,Real Estate,Retail REITs,"Rockville, Maryland",2/1/16,34903
185,FDX,FedEx Corporation,reports,Industrials,Air Freight & Logistics,"Memphis, Tennessee",12/31/80,1048911
186,FIS,Fidelity National Information Services,reports,Information Technology,Internet Software & Services,"Jacksonville, Florida",,1136893
187,FITB,Fifth Third Bancorp,reports,Financials,Banks,"Cincinnati, Ohio",,35527
188,FSLR,First Solar Inc,reports,Information Technology,Semiconductors,"Tempe, Arizona",10/16/09,1274494
189,FE,FirstEnergy Corp,reports,Utilities,Electric Utilities,"Akron, Ohio",,1031296
190,FISV,Fiserv Inc,reports,Information Technology,Internet Software & Services,"Brookfield, Wisconsin",,798354
191,FLIR,FLIR Systems,reports,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon",1/2/09,354908
192,FLS,Flowserve Corporation,reports,Industrials,Industrial Machinery,"Irving, Texas",10/2/08,30625
193,FLR,Fluor Corp.,reports,Industrials,Diversified Commercial Services,"Irving, Texas",3/31/80,1124198
194,FMC,FMC Corporation,reports,Materials,Diversified Chemicals,"Philadelphia, Pennsylvania",8/19/09,37785
195,FTI,FMC Technologies Inc.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",6/5/09,1135152
196,FL,Foot Locker Inc,reports,Consumer Discretionary,Apparel Retail,"New York, New York",4/4/16,850209
197,F,Ford Motor,reports,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",,37996
198,FTV,Fortive Corp,reports,Industrials,Industrial Machinery,"Everett, Washington",7/1/16,1659166
